iter	Passed	Remaining
0	139	139142
1	140	69961
2	141	46945
3	142	35397
4	143	28457
5	143	23805
6	144	20482
7	145	17986
8	145	16050
9	146	14517
10	147	13261
11	148	12203
12	149	11313
13	149	10546
14	150	9875
15	151	9290
16	151	8771
17	152	8310
18	152	7898
19	153	7528
20	154	7199
21	155	6903
22	156	6630
23	156	6376
24	157	6141
25	158	5923
26	158	5720
27	159	5536
28	160	5366
29	160	5205
30	161	5053
31	162	4911
32	163	4777
33	163	4650
34	164	4532
35	165	4421
36	165	4314
37	166	4212
38	167	4115
39	167	4022
40	168	3935
41	169	3856
42	169	3781
43	170	3708
44	171	3636
45	172	3567
46	172	3500
47	173	3436
48	173	3375
49	174	3319
50	175	3264
51	176	3209
52	176	3158
53	177	3109
54	178	3061
55	178	3014
56	179	2968
57	180	2924
58	180	2881
59	181	2840
60	181	2800
61	182	2761
62	183	2727
63	184	2694
64	184	2660
65	185	2626
66	186	2593
67	186	2561
68	187	2530
69	188	2499
70	188	2470
71	189	2443
72	190	2416
73	190	2388
74	191	2364
75	192	2340
76	193	2315
77	193	2290
78	194	2266
79	195	2243
80	195	2220
81	196	2198
82	196	2173
83	197	2151
84	198	2132
85	198	2114
86	199	2098
87	200	2078
88	201	2059
89	201	2041
90	202	2022
91	203	2005
92	203	1989
93	204	1972
94	205	1956
95	206	1941
96	206	1925
97	207	1910
98	208	1894
99	208	1879
100	209	1863
101	210	1848
102	210	1834
103	211	1819
104	211	1805
105	212	1791
106	213	1780
107	214	1768
108	214	1756
109	215	1743
110	216	1731
111	216	1718
112	217	1706
113	218	1694
114	218	1683
115	219	1673
116	220	1661
117	220	1650
118	221	1639
119	222	1629
120	222	1618
121	223	1607
122	223	1596
123	224	1586
124	225	1576
125	225	1566
126	226	1556
127	227	1546
128	227	1537
129	228	1529
130	229	1521
131	230	1512
132	230	1503
133	231	1494
134	231	1486
135	232	1477
136	233	1469
137	234	1462
138	234	1454
139	235	1446
140	236	1438
141	236	1430
142	237	1423
143	238	1415
144	238	1407
145	239	1400
146	239	1392
147	240	1384
148	241	1377
149	241	1370
150	242	1363
151	243	1357
152	244	1351
153	244	1345
154	245	1338
155	246	1331
156	246	1325
157	247	1318
158	248	1312
159	248	1307
160	249	1299
161	250	1293
162	250	1287
163	251	1281
164	252	1275
165	252	1269
166	253	1263
167	253	1257
168	254	1251
169	255	1245
170	255	1240
171	256	1234
172	257	1228
173	257	1224
174	258	1220
175	259	1215
176	260	1210
177	260	1205
178	261	1199
179	262	1194
180	262	1189
181	263	1185
182	264	1180
183	265	1176
184	265	1171
185	266	1166
186	267	1162
187	267	1157
188	268	1152
189	269	1147
190	269	1142
191	270	1138
192	271	1133
193	271	1128
194	272	1124
195	273	1121
196	274	1117
197	274	1113
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1092
203	279	1089
204	279	1085
205	280	1081
206	281	1077
207	281	1073
208	282	1069
209	283	1065
210	283	1061
211	284	1057
212	285	1053
213	285	1049
214	286	1045
215	287	1041
216	287	1038
217	288	1035
218	289	1031
219	290	1028
220	290	1024
221	291	1020
222	291	1017
223	292	1013
224	293	1010
225	294	1007
226	294	1004
227	295	1000
228	296	997
229	296	993
230	297	990
231	298	986
232	298	983
233	299	980
234	300	976
235	300	973
236	301	970
237	301	966
238	302	963
239	303	961
240	304	958
241	305	955
242	305	952
243	306	949
244	307	946
245	307	942
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	313	919
254	313	916
255	314	913
256	314	910
257	315	907
258	316	904
259	316	901
260	317	899
261	318	897
262	319	894
263	320	892
264	320	889
265	321	887
266	322	884
267	322	881
268	323	878
269	324	876
270	324	874
271	325	871
272	326	869
273	327	866
274	327	863
275	328	861
276	328	858
277	329	855
278	330	853
279	330	850
280	331	848
281	332	845
282	333	843
283	333	841
284	334	839
285	335	836
286	335	834
287	336	831
288	337	829
289	337	826
290	338	824
291	339	822
292	339	819
293	340	817
294	341	815
295	341	812
296	342	810
297	342	807
298	343	805
299	344	803
300	344	800
301	345	798
302	345	795
303	346	793
304	347	791
305	348	789
306	349	787
307	349	785
308	350	783
309	350	781
310	351	778
311	352	776
312	352	774
313	353	772
314	354	770
315	354	767
316	355	765
317	356	763
318	356	761
319	357	759
320	357	756
321	358	754
322	359	752
323	359	750
324	360	748
325	360	746
326	361	744
327	362	742
328	363	740
329	363	738
330	364	736
331	365	734
332	365	732
333	366	730
334	366	728
335	367	726
336	368	724
337	368	722
338	369	720
339	370	718
340	370	716
341	371	714
342	372	712
343	372	710
344	373	708
345	373	706
346	374	704
347	375	702
348	375	700
349	376	698
350	376	696
351	377	695
352	378	693
353	379	692
354	379	690
355	380	688
356	381	686
357	381	684
358	382	682
359	383	681
360	383	679
361	384	677
362	384	675
363	385	673
364	386	671
365	386	669
366	387	668
367	388	666
368	388	664
369	389	662
370	390	661
371	390	659
372	391	657
373	391	655
374	392	654
375	393	653
376	394	651
377	394	649
378	395	647
379	395	646
380	396	644
381	397	642
382	397	640
383	398	639
384	398	637
385	399	635
386	400	633
387	400	632
388	401	630
389	401	628
390	402	627
391	403	625
392	403	623
393	404	622
394	405	620
395	405	618
396	406	617
397	406	615
398	407	614
399	408	612
400	409	611
401	409	609
402	410	608
403	411	606
404	411	604
405	412	603
406	412	601
407	413	600
408	414	598
409	414	596
410	415	595
411	415	593
412	416	592
413	417	590
414	417	589
415	418	587
416	419	585
417	419	584
418	420	582
419	421	581
420	421	579
421	422	578
422	423	577
423	423	575
424	424	574
425	425	572
426	425	571
427	426	569
428	426	568
429	427	566
430	428	565
431	428	563
432	429	562
433	430	560
434	430	559
435	431	557
436	431	556
437	432	555
438	433	553
439	433	552
440	434	550
441	435	549
442	435	547
443	436	546
444	436	544
445	437	543
446	438	542
447	439	541
448	439	539
449	440	538
450	441	536
451	441	535
452	442	534
453	442	532
454	443	531
455	444	529
456	444	528
457	445	527
458	445	525
459	446	524
460	447	522
461	447	521
462	448	520
463	449	519
464	449	517
465	450	516
466	451	514
467	451	513
468	452	512
469	453	511
470	453	509
471	454	508
472	455	507
473	455	505
474	456	504
475	457	503
476	457	501
477	458	500
478	459	499
479	459	497
480	460	496
481	460	495
482	461	494
483	462	492
484	462	491
485	463	490
486	464	488
487	464	487
488	465	486
489	465	484
490	466	483
491	467	482
492	467	481
493	468	480
494	469	478
495	470	477
496	470	476
497	471	475
498	471	473
499	472	472
500	473	471
501	473	469
502	474	468
503	474	467
504	475	466
505	476	465
506	477	463
507	477	462
508	478	461
509	479	460
510	479	459
511	480	457
512	481	456
513	481	455
514	482	454
515	483	453
516	483	452
517	484	450
518	485	449
519	485	448
520	486	447
521	487	445
522	487	444
523	488	443
524	488	442
525	489	441
526	490	439
527	490	438
528	491	437
529	492	436
530	492	435
531	493	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	427
537	496	426
538	497	425
539	498	424
540	499	423
541	499	422
542	500	421
543	500	419
544	501	418
545	502	417
546	502	416
547	503	415
548	504	414
549	504	412
550	505	411
551	505	410
552	506	409
553	507	408
554	507	407
555	508	406
556	509	404
557	509	403
558	510	402
559	510	401
560	511	400
561	512	399
562	512	397
563	513	396
564	514	395
565	514	394
566	515	393
567	516	392
568	516	391
569	517	390
570	517	389
571	518	387
572	519	386
573	519	385
574	520	384
575	521	383
576	521	382
577	522	381
578	522	380
579	523	379
580	524	378
581	524	376
582	525	375
583	526	374
584	526	373
585	527	372
586	527	371
587	528	370
588	529	369
589	530	368
590	530	367
591	531	366
592	531	365
593	532	363
594	533	362
595	533	361
596	534	360
597	535	359
598	535	358
599	536	357
600	536	356
601	537	355
602	538	354
603	538	353
604	539	352
605	539	351
606	540	349
607	541	348
608	541	347
609	542	346
610	542	345
611	543	344
612	544	343
613	545	342
614	545	341
615	546	340
616	546	339
617	547	338
618	548	337
619	548	336
620	549	335
621	550	334
622	550	333
623	551	332
624	552	331
625	552	330
626	553	329
627	553	328
628	554	327
629	555	326
630	555	324
631	556	323
632	557	322
633	557	321
634	558	320
635	559	319
636	559	318
637	560	317
638	561	316
639	561	315
640	562	315
641	563	314
642	563	313
643	564	312
644	565	310
645	565	309
646	566	308
647	566	307
648	567	306
649	568	305
650	568	304
651	569	303
652	570	302
653	570	301
654	571	300
655	571	299
656	572	298
657	573	297
658	573	296
659	574	296
660	575	295
661	575	294
662	576	293
663	577	292
664	578	291
665	578	290
666	579	289
667	579	288
668	580	287
669	581	286
670	581	285
671	582	284
672	583	283
673	583	282
674	584	281
675	584	280
676	585	279
677	586	278
678	586	277
679	587	276
680	587	275
681	588	274
682	589	273
683	590	272
684	590	271
685	591	270
686	592	269
687	592	268
688	593	267
689	593	266
690	594	265
691	595	264
692	595	263
693	596	262
694	596	261
695	597	260
696	598	260
697	598	259
698	599	258
699	599	257
700	600	256
701	601	255
702	601	254
703	602	253
704	602	252
705	603	251
706	604	250
707	605	249
708	605	248
709	606	247
710	606	246
711	607	245
712	608	244
713	608	243
714	609	242
715	610	241
716	610	241
717	611	240
718	611	239
719	612	238
720	613	237
721	613	236
722	614	235
723	614	234
724	615	233
725	616	232
726	616	231
727	617	230
728	618	229
729	618	228
730	619	227
731	620	227
732	620	226
733	621	225
734	621	224
735	622	223
736	623	222
737	623	221
738	624	220
739	625	219
740	625	218
741	626	217
742	627	216
743	627	215
744	628	215
745	628	214
746	629	213
747	630	212
748	630	211
749	631	210
750	631	209
751	632	208
752	633	207
753	634	206
754	634	206
755	635	205
756	636	204
757	636	203
758	637	202
759	638	201
760	638	200
761	639	199
762	640	198
763	640	197
764	641	197
765	641	196
766	642	195
767	643	194
768	643	193
769	644	192
770	644	191
771	645	190
772	646	189
773	646	188
774	647	187
775	648	187
776	648	186
777	649	185
778	650	184
779	651	183
780	651	182
781	652	181
782	653	181
783	653	180
784	654	179
785	655	178
786	655	177
787	656	176
788	657	175
789	657	174
790	658	173
791	659	173
792	659	172
793	660	171
794	661	170
795	661	169
796	662	168
797	662	167
798	663	166
799	664	166
800	665	165
801	665	164
802	666	163
803	667	162
804	667	161
805	668	160
806	668	159
807	669	159
808	670	158
809	670	157
810	671	156
811	672	155
812	672	154
813	673	153
814	674	153
815	674	152
816	675	151
817	676	150
818	676	149
819	677	148
820	678	147
821	678	147
822	679	146
823	680	145
824	681	144
825	681	143
826	682	142
827	683	141
828	683	141
829	684	140
830	684	139
831	685	138
832	686	137
833	686	136
834	687	135
835	688	134
836	688	134
837	689	133
838	689	132
839	690	131
840	691	130
841	691	129
842	692	128
843	692	128
844	693	127
845	694	126
846	695	125
847	695	124
848	696	123
849	696	122
850	697	122
851	698	121
852	698	120
853	699	119
854	700	118
855	700	117
856	701	117
857	701	116
858	702	115
859	703	114
860	703	113
861	704	112
862	705	111
863	705	111
864	706	110
865	707	109
866	707	108
867	708	107
868	708	106
869	709	106
870	710	105
871	711	104
872	711	103
873	712	102
874	713	101
875	713	101
876	714	100
877	714	99
878	715	98
879	716	97
880	716	96
881	717	95
882	718	95
883	718	94
884	719	93
885	719	92
886	720	91
887	721	90
888	721	90
889	722	89
890	722	88
891	723	87
892	724	86
893	724	85
894	725	85
895	726	84
896	726	83
897	727	82
898	728	81
899	728	80
900	729	80
901	730	79
902	730	78
903	731	77
904	731	76
905	732	76
906	733	75
907	733	74
908	734	73
909	735	72
910	735	71
